epoch,loss,accuracy
0.0,2.4157472094778716,0.4344075903708931
1.0,1.3516371293203893,0.6618834783972398
2.0,1.0146478685897784,0.7385713165529679
3.0,0.8505221363744176,0.7774641260879792
4.0,0.7121346810481941,0.8127499411903081
5.0,0.6235703933634384,0.8326668234925115
6.0,0.5580983286467204,0.8502313181212263
7.0,0.335352372822229,0.9136673723829687
8.0,0.25465353778109207,0.9360150552811103
9.0,0.2272989424302378,0.9432290441464753
10.0,0.1975045487662159,0.9510703363914372
11.0,0.18088330607024655,0.9544420920567709
12.0,0.16857793859684034,0.9598525837057946
13.0,0.16214322366051104,0.9606367129302908
14.0,0.14795731378142274,0.9653414882772681
15.0,0.1559397733267442,0.962048145534384
16.0,0.1468655414370903,0.963302752293578
17.0,0.14030115629848242,0.965576727044617
18.0,0.14512142236237258,0.9658119658119658
19.0,0.13612930436303072,0.965968791656865
20.0,0.13559589824984644,0.9684780051752528
21.0,0.138238582854525,0.9658903787344154
22.0,0.14091417532835604,0.9657335528895161
23.0,0.13644710909839766,0.9698110248568964
24.0,0.13968347623360913,0.9658119658119658
