epoch,loss,accuracy
0.0,2.3262078678452305,0.45338351760370105
1.0,1.2254154526499368,0.6861130714341723
2.0,0.8506870183626044,0.7801301654512663
3.0,0.6519354022534719,0.8311769779659688
4.0,0.48894890069414276,0.8700697875009801
5.0,0.4095412869691067,0.8935152513134165
6.0,0.34025386841019073,0.9077079902767976
7.0,0.17949028317129456,0.9560103505057633
8.0,0.12102306236844304,0.9717713479181369
9.0,0.09807703418140357,0.9792205755508507
10.0,0.08463421452824393,0.9818082019916882
11.0,0.07963881000770646,0.9837685250529287
12.0,0.07222175483980973,0.985964086881518
13.0,0.06398396178889078,0.9866698031835646
14.0,0.05627518256516138,0.9897279071590998
15.0,0.05979062957352472,0.9888653650121539
16.0,0.055935186155141384,0.9889437779346035
17.0,0.06000801301724102,0.9886301262448051
18.0,0.05816796039757277,0.9888653650121539
19.0,0.052871974874808075,0.990512036383596
20.0,0.051892342601342956,0.9913745785305418
21.0,0.05762639358467381,0.9892574296244021
22.0,0.05710091565176593,0.9900415588488982
23.0,0.05437821447244239,0.9897279071590998
24.0,0.05804850118392256,0.9896494942366502
