epoch,start_epoch,loss,accuracy,learning_rate,train_time,optimizer,scheduler_step_size
1,0,3.813302401027651,0.1112679369560103,0.001,798.0626769065857,SGD,100
2,0,3.3830479353649947,0.1812906767035207,0.001,802.1268861293793,SGD,100
3,0,3.152057032879405,0.2220653963773229,0.001,802.3279190063477,SGD,100
4,0,2.955825359169048,0.263702658198071,0.001,800.7780470848083,SGD,100
5,0,2.7891352980181554,0.3001646671371442,0.001,801.428060054779,SGD,100
6,0,2.6247014953399708,0.3320787265741394,0.001,801.0051538944244,SGD,100
7,0,2.48166758746042,0.3715988394887477,0.001,799.2964174747467,SGD,100
8,0,2.3269180393607853,0.4062573512114796,0.001,798.5402777194977,SGD,100
9,0,2.206405300206225,0.4349564808280404,0.001,798.0618114471436,SGD,100
10,0,2.095534675725907,0.4594213126323218,0.001,798.9296674728394,SGD,100
11,0,1.979332899819222,0.4953344311142476,0.001,798.3483352661133,SGD,100
12,0,1.8246992706112104,0.5260722967144985,0.001,798.4180960655212,SGD,100
13,0,1.7282822665528466,0.5477142633105936,0.001,798.2217712402344,SGD,100
14,0,1.6104717771230954,0.5754724378577589,0.001,798.3871200084686,SGD,100
15,0,1.5029106195333994,0.6060534776131106,0.001,798.2782475948334,SGD,100
16,0,1.4126402790323198,0.6269113149847094,0.001,798.2410917282104,SGD,100
17,0,1.325315593324773,0.6535717086175802,0.001,799.1681001186371,SGD,100
18,0,1.24264609025575,0.6713714420136438,0.001,799.464941740036,SGD,100
19,0,1.1665564554619394,0.6889359366423586,0.001,798.6946432590485,SGD,100
20,0,1.1061917039017524,0.7035207402179879,0.001,798.850813627243,SGD,100
21,0,1.0540752813134144,0.7235944483650906,0.001,799.2287783622742,SGD,100
22,0,0.9755370306390192,0.7420214851407512,0.001,798.5562961101532,SGD,100
23,0,0.9240917945239046,0.7544891398102407,0.001,797.9351179599762,SGD,100
24,0,0.8604541557159581,0.7732298282756997,0.001,797.8026213645935,SGD,100
25,0,0.8104017093143192,0.7842860503410962,0.001,798.4850692749023,SGD,100
26,0,0.7677424433682396,0.7968321179330353,0.001,798.9224162101746,SGD,100
27,0,0.7252444465170926,0.8053791264800438,0.001,799.4086408615112,SGD,100
28,0,0.675514439911633,0.8213753626597663,0.001,798.7739324569702,SGD,100
29,0,0.6122893754102651,0.8364306437700932,0.001,798.0093319416046,SGD,100
30,0,0.5937974040130618,0.8460754332313964,0.001,797.812824010849,SGD,100
31,0,0.5630420320983902,0.8503097310436759,0.001,797.3950452804565,SGD,100
32,0,0.5257384172136631,0.8664627930682977,0.001,797.5362734794617,SGD,100
33,0,0.4544946390152209,0.883713636007214,0.001,797.9548506736755,SGD,100
34,0,0.4377229072174089,0.8859876107582529,0.001,798.9904630184174,SGD,100
35,0,0.3973491026594969,0.9017486081706264,0.001,796.7451300621033,SGD,100
36,0,0.3835024303477469,0.9036305183094172,0.001,796.3244383335114,SGD,100
37,0,0.3428755994868231,0.9160197600564572,0.001,796.3685748577118,SGD,100
38,0,0.3198731826931383,0.9246451815259156,0.001,796.5720245838165,SGD,100
39,0,0.2846115833722504,0.929506782717792,0.001,797.2811877727509,SGD,100
40,0,0.2685289538217803,0.9386810946443972,0.001,797.3954510688782,SGD,100
41,0,0.2677450756158477,0.9367207715831568,0.001,797.0917921066284,SGD,100
42,0,0.234910679227302,0.9460519093546615,0.001,813.8360095024109,SGD,100
43,0,0.2054688306942338,0.9556966988159648,0.001,796.7190713882446,SGD,100
44,0,0.1969481067057054,0.9545989179016702,0.001,797.1202552318573,SGD,100
45,0,0.2047939134898545,0.9532658982200266,0.001,799.1665134429932,SGD,100
46,0,0.1718167008328096,0.9658119658119658,0.001,797.7888972759247,SGD,100
47,0,0.1538247309962829,0.970281502391594,0.001,797.6871809959412,SGD,100
48,0,0.1676497849914052,0.965341488277268,0.001,796.4746420383453,SGD,100
49,0,0.152494583204114,0.9695757860895476,0.001,796.9508578777313,SGD,100
50,0,0.1387680917701329,0.9728691288324316,0.001,797.6826946735382,SGD,100
51,0,0.1460111639692631,0.9728691288324316,0.001,797.7524702548981,SGD,100
52,0,0.1300196480224606,0.9749862777385712,0.001,798.0030620098114,SGD,100
53,0,0.1122273347263899,0.980161530620246,0.001,797.0280640125275,SGD,100
54,0,0.1272717142961586,0.9767897749549124,0.001,796.7303531169891,SGD,100
55,0,0.1089407265257274,0.9818866149141378,0.001,796.9645285606384,SGD,100
56,0,0.1095544358347063,0.9813377244569904,0.001,796.5865247249603,SGD,100
57,0,0.1135076957149281,0.9807104210773936,0.001,797.1521775722504,SGD,100
58,0,0.0999382046046266,0.984709480122324,0.001,797.7389369010925,SGD,100
59,0,0.0976731319086053,0.9840037638202777,0.001,797.0189485549927,SGD,100
60,0,0.0942765171078403,0.9851799576570218,0.001,796.1446945667267,SGD,100
61,60,0.0591673793185905,0.9924723594448364,0.0001,794.5569703578949,SGD,50
62,60,0.0461931924734773,0.9951383988081236,0.0001,797.8444874286652,SGD,50
63,60,0.0400704198151967,0.99584411511017,0.0001,797.8725941181183,SGD,50
64,60,0.0400674808864258,0.996314592644868,0.0001,797.9442491531372,SGD,50
65,60,0.0403536104708591,0.9952168117305732,0.0001,797.841148853302,SGD,50
66,60,0.0360971967363478,0.9974123735591623,0.0001,797.3584971427917,SGD,50
67,60,0.038218070258028,0.9959225280326196,0.0001,797.1018102169037,SGD,50
68,60,0.0362515488479013,0.9967850701795656,0.0001,798.4254925251007,SGD,50
69,60,0.0319676943461039,0.9976476123265112,0.0001,798.5849912166595,SGD,50
