epoch,start_epoch,loss,accuracy,learning_rate,train_time,optimizer,scheduler_step_size
1,0,3.820445060991712,0.1153454089233905,0.001,797.319132566452,SGD,50
2,0,3.475307489987552,0.170704932172822,0.001,802.4018683433533,SGD,50
3,0,3.335816668181628,0.201834862385321,0.001,801.720947265625,SGD,50
4,0,3.276998961999128,0.2176742727201442,0.001,801.7427847385406,SGD,50
5,0,3.216696882102103,0.2363365482631537,0.001,800.569365978241,SGD,50
6,0,3.1757489894779303,0.2531169136673724,0.001,799.5187928676605,SGD,50
7,0,3.117533556425851,0.2714655375205834,0.001,798.2901701927185,SGD,50
8,0,3.050203387937125,0.2832274758880263,0.001,798.0638456344604,SGD,50
9,0,3.000533617160689,0.3007135575942915,0.001,798.3123412132263,SGD,50
10,0,2.933030739621743,0.3170234454638124,0.001,797.9371426105499,SGD,50
11,0,2.872276876278039,0.331137771504744,0.001,797.9390525817871,SGD,50
12,0,2.8066965797634897,0.3468203559946679,0.001,798.1282179355621,SGD,50
13,0,2.7419715202678225,0.3650905669254293,0.001,797.6688151359558,SGD,50
14,0,2.684781229609108,0.3824198227867952,0.001,797.078693151474,SGD,50
15,0,2.6253394266394907,0.3939465223868893,0.001,797.7520437240601,SGD,50
16,0,2.560293476637472,0.4082176742727201,0.001,798.0688197612762,SGD,50
17,0,2.525959861687022,0.4191170704932173,0.001,796.8889012336731,SGD,50
18,0,2.467381558660936,0.4332313965341488,0.001,797.5806469917297,SGD,50
19,0,2.41254132388293,0.4482866776444758,0.001,797.421567440033,SGD,50
20,0,2.3696784055215243,0.4584803575629264,0.001,797.2792649269104,SGD,50
21,0,2.3452724656394666,0.4609895710813141,0.001,796.9429979324341,SGD,50
22,0,2.309688000186213,0.4699286442405708,0.001,797.3901286125183,SGD,50
23,0,2.2765657981124603,0.4776915235630832,0.001,797.0714564323425,SGD,50
24,0,2.241854205679671,0.4885125068611307,0.001,797.8432197570801,SGD,50
25,0,2.220800877290455,0.4927468046734101,0.001,797.0332293510437,SGD,50
26,0,2.187356665518988,0.5026268329020622,0.001,797.1789290904999,SGD,50
27,0,2.182000347822589,0.504116678428605,0.001,797.2732162475586,SGD,50
28,0,2.134160831443265,0.5128989257429625,0.001,796.5940580368042,SGD,50
29,0,2.1344697011047127,0.5141535325021563,0.001,797.253045797348,SGD,50
30,0,2.089239110673146,0.5285030973104368,0.001,798.1230370998383,SGD,50
31,30,2.100786598366419,0.521837998902219,0.001,795.875461101532,SGD,50
32,30,2.0925376226058297,0.531561201285972,0.001,799.2442219257355,SGD,50
33,30,2.0624447008829287,0.5350113698737552,0.001,797.6384429931641,SGD,50
34,30,2.052476580676907,0.541441229514624,0.001,797.5514781475067,SGD,50
35,30,2.034452110554652,0.5478710891554928,0.001,796.6319053173065,SGD,50
36,30,2.015442018531158,0.5520269740453226,0.001,795.4003381729126,SGD,50
37,30,2.019801141308456,0.5498314122167333,0.001,795.8362004756927,SGD,50
38,30,1.980767298845892,0.5590057241433388,0.001,795.1093826293945,SGD,50
39,30,1.9668511973730043,0.5633968478005175,0.001,794.1034920215607,SGD,50
40,30,1.9655314387737104,0.5664549517760527,0.001,796.4840297698975,SGD,50
41,40,1.9766603427092944,0.5622990668862228,0.001,794.7610828876495,SGD,50
42,40,1.9614387536052629,0.5673174939229985,0.001,797.1375651359558,SGD,50
43,40,1.942685564443157,0.5732768760291695,0.001,797.2662391662598,SGD,50
44,40,1.9456875098646178,0.5742178310985651,0.001,796.3489842414856,SGD,50
45,40,1.9251135447198602,0.5796283227475888,0.001,796.9403612613678,SGD,50
46,40,1.9232232029518594,0.5801772132047361,0.001,797.1288611888885,SGD,50
47,40,1.9007964361782383,0.5844899239394652,0.001,796.4530942440033,SGD,50
48,40,1.8771198978613266,0.5935074100211715,0.001,796.0125358104706,SGD,50
49,40,1.867526185748101,0.5974280561436525,0.001,796.0038001537323,SGD,50
50,40,1.8575185935871,0.5947620167803653,0.001,795.7813034057617,SGD,50
