epoch,start_epoch,loss,accuracy,learning_rate,train_time,optimizer
1.0,0.0,3.810706798435613,0.1140908021641966,[0.001],3789.452960252762,SGD
2.0,0.0,3.4256223191992867,0.1699208029483258,[0.001],3784.9788308143616,SGD
3.0,0.0,3.206084411957306,0.2064612248098486,[0.001],3779.8999190330505,SGD
4.0,0.0,3.050511714664897,0.2357092448835568,[0.001],3778.364413499832,SGD
5.0,0.0,2.905905785564721,0.2664471104838077,[0.001],3777.6437377929688,SGD
6.0,0.0,2.7849582389673606,0.2978906923861052,[0.001],3774.366916656494,SGD
7.0,0.0,2.676969498884329,0.3231396534148827,[1e-05],3776.215818881989,SGD
8.0,0.0,2.4373057573755648,0.3792833058888105,[0.0001],3778.3112304210654,SGD
9.0,0.0,2.38883508740804,0.389476985807261,[0.0001],3778.7279119491577,SGD
10.0,0.0,2.3781678160620534,0.3913588959460519,[0.0001],3778.3493163585663,SGD
11.0,0.0,2.3486767113091926,0.3992001881910139,[0.0001],3781.173915147781,SGD
12.0,0.0,2.322312352891568,0.4085313259625186,[0.0001],3777.735074043274,SGD
13.0,0.0,2.3120422786631734,0.415039598525837,[0.0001],3779.876564741135,SGD
14.0,0.0,2.285587432739137,0.4171567474319768,[1.0000000000000002e-06],3782.957070350647,SGD
15.0,14.0,2.50410004110044,0.3608562691131498,0.001,3790.442524433136,SGD
16.0,14.0,2.379367219544594,0.3886144436603152,0.001,3778.665967226029,SGD
17.0,14.0,2.310927847595876,0.4105700619462087,0.001,3780.935742616653,SGD
1.0,0.0,3.9539472092873984,0.0918215321885046,0.01,3782.331708669664,SGD
2.0,0.0,3.640032532616502,0.1148749313886928,0.01,3776.124231815338,SGD
3.0,0.0,3.438348489116895,0.1529051987767584,0.01,3768.654496908188,SGD
4.0,0.0,3.258900717063239,0.1881126009566376,0.01,3769.6123218536377,SGD
5.0,0.0,3.105345821984467,0.2157139496589037,0.01,3767.6515941619873,SGD
1.0,0.0,4.185131671914192,0.0656316160903316,0.0001,3793.1174080371857,SGD
2.0,0.0,4.004929627604198,0.091743119266055,0.0001,3790.323143482208,SGD
3.0,0.0,3.9002668382718975,0.1052301419273896,0.0001,3782.94180393219,SGD
4.0,0.0,3.837518250475787,0.1168352544499333,0.0001,3780.564295768738,SGD
5.0,0.0,3.7650569523398776,0.1220889202540578,0.0001,3778.200128793717,SGD
18.0,17.0,2.1846248189729773,0.4352701325178389,0.001,3787.278196811676,SGD
19.0,17.0,2.1037384517906244,0.4557359052771896,0.001,3787.0027039051056,SGD
20.0,17.0,2.020967677192371,0.4787108915549282,0.001,3772.504652738571,SGD
21.0,17.0,1.933499352745773,0.5001176193836744,0.001,3771.044140577316,SGD
22.0,17.0,1.8461697284618024,0.5176821140123892,0.001,3769.970568418503,SGD
23.0,17.0,1.7450657550338706,0.5415196424370736,0.001,3771.590747833252,SGD
24.0,17.0,1.6853900638845007,0.5615933505841763,0.0001,3767.1433894634247,SGD
25.0,17.0,1.4278229550549555,0.6277738571316552,0.0001,3767.048624038696,SGD
26.0,25.0,1.5807838905052063,0.5815102328863796,0.001,3786.225764274597,SGD
27.0,25.0,1.5202786634269905,0.599780443817141,0.001,3783.2833647727966,SGD
28.0,25.0,1.437345639742852,0.6209519328785383,0.001,3779.226170539856,SGD
29.0,25.0,1.3636324786921628,0.6370265819807104,0.001,3780.0563519001007,SGD
30.0,25.0,1.304896933975023,0.6505920175644946,0.001,3777.9594564437866,SGD
31.0,25.0,1.2489911142348458,0.6665098408217675,0.001,3777.7806928157806,SGD
32.0,25.0,1.2033371489355118,0.672782874617737,0.0001,3779.530411720276,SGD
33.0,25.0,0.979550504118571,0.7485297577040696,0.0001,3779.601240634918,SGD
34.0,25.0,0.9229750586242024,0.7629577354347996,0.0001,3777.6183874607086,SGD
35.0,25.0,0.9098689533369309,0.7671136203246295,0.0001,3776.652987718582,SGD
36.0,25.0,0.9029876036961052,0.7691523563083196,0.0001,3778.093074083328,SGD
37.0,25.0,0.8791285573853135,0.7706422018348623,0.0001,3777.931646585465,SGD
38.0,25.0,0.8701967875634812,0.7743276091899944,0.0001,3780.650325536728,SGD
39.0,25.0,0.8668229525569541,0.7775425390104289,1e-05,3778.3283352851863,SGD
40.0,25.0,0.8340353141171104,0.7856974829451894,1e-05,3781.4942643642426,SGD
41.0,40.0,1.0894124975859871,0.7099505998588567,0.001,3792.3952674865723,SGD
42.0,40.0,1.0564745742934858,0.7180271308711675,0.001,3790.3587799072266,SGD
43.0,40.0,1.008873973266406,0.732768760291696,0.001,3781.8157258033752,SGD
44.0,40.0,0.9608277934587692,0.7453932408060848,0.001,3775.883397579193,SGD
45.0,40.0,0.9358364640436625,0.7509605583000079,0.001,3775.6179213523865,SGD
46.0,40.0,0.8868916971457245,0.7632713871245981,0.001,3777.6478357315063,SGD
